,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
4511,2023-07-08 02:00:00,1870.92,1871.5,1867.66,1871.36,4983.6959,2023-07-08 02:59:59.999,9317828.231363,8702.0,2870.3704,5366685.171351,0.0
4512,2023-07-08 03:00:00,1871.35,1873.33,1868.12,1868.74,5109.2282,2023-07-08 03:59:59.999,9555175.218145,9656.0,3234.1945,6048611.813396,0.0
4513,2023-07-08 04:00:00,1868.74,1876.0,1867.53,1869.86,9313.5505,2023-07-08 04:59:59.999,17419626.697088,11074.0,5998.5918,11220585.869381,0.0
4514,2023-07-08 05:00:00,1869.86,1869.87,1862.88,1863.94,5416.5721,2023-07-08 05:59:59.999,10106202.922414,8324.0,2221.4688,4144580.949252,0.0
4515,2023-07-08 06:00:00,1863.93,1863.94,1860.47,1860.48,4972.3931,2023-07-08 06:59:59.999,9257413.207813,7947.0,2037.1681,3792696.876126,0.0
4516,2023-07-08 07:00:00,1860.47,1863.66,1858.04,1862.7,5026.7859,2023-07-08 07:59:59.999,9350656.178005,9629.0,2347.1337,4365831.589812,0.0
4517,2023-07-08 08:00:00,1862.7,1863.32,1855.0,1857.44,6571.4965,2023-07-08 08:59:59.999,12210698.437138,11059.0,2723.8,5060581.370432,0.0
4518,2023-07-08 09:00:00,1857.44,1861.86,1856.89,1861.69,2971.4158,2023-07-08 09:59:59.999,5525665.477426,8157.0,1440.3226,2678297.373777,0.0
4519,2023-07-08 10:00:00,1861.69,1866.37,1861.54,1865.75,5059.417,2023-07-08 10:59:59.999,9433095.94841,10324.0,3053.0251,5692095.485659,0.0
4520,2023-07-08 11:00:00,1865.75,1867.8,1861.5,1863.65,5336.9356,2023-07-08 11:59:59.999,9950878.43803,9774.0,2601.5256,4850497.450946,0.0
4521,2023-07-08 12:00:00,1863.64,1865.47,1862.05,1862.75,2704.847,2023-07-08 12:59:59.999,5040470.312279,7601.0,1244.1912,2318674.455031,0.0
4522,2023-07-08 13:00:00,1862.74,1862.75,1857.2,1859.01,4074.3162,2023-07-08 13:59:59.999,7575336.786382,10053.0,1841.9183,3424288.382867,0.0
4523,2023-07-08 14:00:00,1859.01,1859.5,1855.86,1856.43,4473.0512,2023-07-08 14:59:59.999,8308656.987624,10096.0,1965.5633,3651300.469048,0.0
4524,2023-07-08 15:00:00,1856.43,1861.02,1856.31,1859.69,4368.1201,2023-07-08 15:59:59.999,8121960.936475,9432.0,2408.3254,4477767.8177,0.0
4525,2023-07-08 16:00:00,1859.69,1861.17,1858.21,1861.17,3925.7483,2023-07-08 16:59:59.999,7301692.444415,9273.0,1987.5758,3696820.599196,0.0
4526,2023-07-08 17:00:00,1861.16,1862.0,1858.9,1859.44,3476.9122,2023-07-08 17:59:59.999,6469287.238005,8687.0,1513.2801,2815702.199648,0.0
4527,2023-07-08 18:00:00,1859.43,1866.0,1859.43,1862.83,5227.1466,2023-07-08 18:59:59.999,9737078.241848,10274.0,2445.3805,4554707.257999,0.0
4528,2023-07-08 19:00:00,1862.82,1863.56,1860.43,1862.21,3061.032,2023-07-08 19:59:59.999,5700196.693078,7621.0,1458.3041,2715464.573475,0.0
4529,2023-07-08 20:00:00,1862.21,1862.22,1858.23,1859.25,3185.8504,2023-07-08 20:59:59.999,5923623.210765,7020.0,1364.6724,2537213.264593,0.0
4530,2023-07-08 21:00:00,1859.25,1859.68,1843.6,1846.89,14392.1843,2023-07-08 21:59:59.999,26622495.920155,18051.0,6379.6984,11796975.542825,0.0
4531,2023-07-08 22:00:00,1846.9,1848.96,1842.8,1848.66,9302.8629,2023-07-08 22:59:59.999,17174772.569786,11514.0,4325.4897,7985367.896172,0.0
4532,2023-07-08 23:00:00,1848.66,1856.18,1846.25,1856.17,4575.2612,2023-07-08 23:59:59.999,8468175.929647,7522.0,3128.6132,5790811.948826,0.0
4533,2023-07-09 00:00:00,1856.17,1861.11,1854.63,1860.93,3571.9182,2023-07-09 00:59:59.999,6635900.046742,7958.0,1687.8065,3135260.279078,0.0
4534,2023-07-09 01:00:00,1860.92,1866.5,1860.92,1865.24,4719.0861,2023-07-09 01:59:59.999,8794292.731592,8841.0,2314.1002,4312180.48077,0.0
4535,2023-07-09 02:00:00,1865.24,1870.62,1862.71,1866.56,7188.3565,2023-07-09 02:59:59.999,13416369.329631,10863.0,4137.0005,7721972.477349,0.0
4536,2023-07-09 03:00:00,1866.55,1874.45,1866.55,1868.19,7510.4381,2023-07-09 03:59:59.999,14053019.337078,11469.0,3933.0449,7359424.592025,0.0
4537,2023-07-09 04:00:00,1868.2,1872.36,1865.22,1867.69,4956.2569,2023-07-09 04:59:59.999,9262114.141089,8540.0,2890.3625,5401911.863792,0.0
4538,2023-07-09 05:00:00,1867.69,1871.5,1866.41,1867.84,2642.5262,2023-07-09 05:59:59.999,4937947.444724,6050.0,1621.8374,3030662.066096,0.0
4539,2023-07-09 06:00:00,1867.85,1870.4,1867.05,1869.62,2291.0172,2023-07-09 06:59:59.999,4281206.576797,6843.0,1122.3045,2097254.247778,0.0
4540,2023-07-09 07:00:00,1869.63,1870.68,1867.09,1867.29,3736.8259,2023-07-09 07:59:59.999,6983544.473735,6804.0,1816.2369,3393956.109779,0.0
4541,2023-07-09 08:00:00,1867.28,1868.93,1865.64,1866.81,3807.3189,2023-07-09 08:59:59.999,7109185.176945,7769.0,2113.9078,3947037.165672,0.0
4542,2023-07-09 09:00:00,1866.81,1868.32,1864.04,1867.42,4759.824,2023-07-09 09:59:59.999,8882920.578493,8442.0,2533.1377,4727323.200982,0.0
4543,2023-07-09 10:00:00,1867.42,1868.96,1866.98,1868.24,3655.1985,2023-07-09 10:59:59.999,6827536.824444,7984.0,2100.0417,3922553.821883,0.0
4544,2023-07-09 11:00:00,1868.24,1868.72,1864.21,1867.2,3190.0678,2023-07-09 11:59:59.999,5955480.005608,9154.0,1419.9411,2650650.531526,0.0
4545,2023-07-09 12:00:00,1867.21,1869.5,1866.69,1866.7,3374.6224,2023-07-09 12:59:59.999,6303467.153377,7841.0,1720.6794,3213952.823801,0.0
4546,2023-07-09 13:00:00,1866.7,1870.04,1865.5,1868.98,4206.2637,2023-07-09 13:59:59.999,7857589.258276,9532.0,1971.6697,3683152.252147,0.0
4547,2023-07-09 14:00:00,1868.98,1879.36,1868.01,1875.86,9552.3284,2023-07-09 14:59:59.999,17905781.669686,16029.0,5478.8373,10268514.404055,0.0
4548,2023-07-09 15:00:00,1875.87,1878.38,1864.79,1866.3,10575.9925,2023-07-09 15:59:59.999,19798208.806285,15248.0,3745.9121,7013312.875624,0.0
4549,2023-07-09 16:00:00,1866.3,1874.18,1856.66,1867.74,17321.5387,2023-07-09 16:59:59.999,32298971.173987,23278.0,8736.2575,16288844.848994,0.0
4550,2023-07-09 17:00:00,1867.73,1869.99,1863.01,1866.12,6298.5434,2023-07-09 17:59:59.999,11755044.419906,10889.0,2793.4959,5212880.499641,0.0
4551,2023-07-09 18:00:00,1866.13,1866.87,1861.68,1863.79,5465.2715,2023-07-09 18:59:59.999,10187804.427403,8946.0,2658.0633,4954609.457418,0.0
4552,2023-07-09 19:00:00,1863.79,1867.8,1862.34,1867.58,3622.6049,2023-07-09 19:59:59.999,6756251.373637,7332.0,1605.8608,2994941.84384,0.0
4553,2023-07-09 20:00:00,1867.58,1868.45,1866.08,1866.4,3357.7407,2023-07-09 20:59:59.999,6270031.769404,6158.0,1570.4154,2932608.879094,0.0
4554,2023-07-09 21:00:00,1866.4,1868.79,1863.41,1868.42,2381.622,2023-07-09 21:59:59.999,4443400.126714,5955.0,1249.9794,2331868.332935,0.0
4555,2023-07-09 22:00:00,1868.42,1871.66,1862.51,1869.35,5558.1903,2023-07-09 22:59:59.999,10383550.524874,10187.0,3147.3945,5880072.366331,0.0
4556,2023-07-09 23:00:00,1869.35,1871.53,1863.5,1865.25,5349.7828,2023-07-09 23:59:59.999,9998181.858811,8933.0,2852.7789,5331510.808197,0.0
