,OpenTime,TRX-USD_Open,TRX-USD_High,TRX-USD_Low,TRX-USD_Close,TRX-USD_volume,CloseTime,TRX-QuoteAssetVolume,TRX-NumberOfTrades,TRX-TBBAV,TRX-TBQAV,TRX-ignore
184,2022-07-04 02:00:00,0.06629,0.06769,0.06547,0.06733,703363294.0,2022-07-05 01:59:59.999,46859094.795055,146406.0,369627081.3,24631288.914683,0.0
185,2022-07-05 02:00:00,0.06733,0.06978,0.06657,0.06814,795637845.9,2022-07-06 01:59:59.999,54012688.639233,150434.0,420861866.8,28588733.8234,0.0
186,2022-07-06 02:00:00,0.06815,0.06863,0.06673,0.06755,580267106.1,2022-07-07 01:59:59.999,39266751.724944,112181.0,306372348.9,20734904.275548,0.0
187,2022-07-07 02:00:00,0.06756,0.06887,0.06615,0.06862,610737345.7,2022-07-08 01:59:59.999,41254672.52539,125670.0,308197470.9,20829015.806553,0.0
188,2022-07-08 02:00:00,0.06862,0.06982,0.06764,0.06902,669951091.7,2022-07-09 01:59:59.999,46095394.237829,133303.0,344954751.5,23733997.067362,0.0
189,2022-07-09 02:00:00,0.06901,0.07153,0.06894,0.0698,486037198.8,2022-07-10 01:59:59.999,34188475.375879,110973.0,262480778.5,18465833.077827,0.0
190,2022-07-10 02:00:00,0.0698,0.07009,0.06722,0.06763,469939685.9,2022-07-11 01:59:59.999,32113314.11055,86521.0,233900314.2,15982572.97594,0.0
191,2022-07-11 02:00:00,0.06764,0.06775,0.06451,0.06475,568957000.6,2022-07-12 01:59:59.999,37553791.912436,114876.0,277250811.4,18306200.293057,0.0
192,2022-07-12 02:00:00,0.06475,0.06577,0.06441,0.06461,547014780.9,2022-07-13 01:59:59.999,35595718.857309,101742.0,274635630.1,17873697.907876,0.0
193,2022-07-13 02:00:00,0.0646,0.06649,0.06365,0.06624,823561098.4,2022-07-14 01:59:59.999,53527167.697591,142998.0,414233613.9,26929953.566479,0.0
194,2022-07-14 02:00:00,0.06625,0.06756,0.06497,0.06679,658783694.8,2022-07-15 01:59:59.999,43567995.21099,104696.0,346479732.7,22925553.311157,0.0
195,2022-07-15 02:00:00,0.06678,0.06799,0.0665,0.06703,530211689.4,2022-07-16 01:59:59.999,35643233.698293,90843.0,276354586.9,18580288.057541,0.0
196,2022-07-16 02:00:00,0.06702,0.06944,0.06609,0.06895,568718459.3,2022-07-17 01:59:59.999,38514163.849037,106616.0,301473435.8,20418674.088453,0.0
197,2022-07-17 02:00:00,0.06895,0.06937,0.06731,0.06744,558371408.1,2022-07-18 01:59:59.999,38190914.450509,98446.0,289473145.9,19804208.636118,0.0
198,2022-07-18 02:00:00,0.06746,0.07079,0.06726,0.06882,998303770.5,2022-07-19 01:59:59.999,69069838.496997,164468.0,501310504.5,34682716.222074,0.0
199,2022-07-19 02:00:00,0.06881,0.06985,0.06763,0.06909,934246092.5,2022-07-20 01:59:59.999,64124379.172347,167257.0,474952547.4,32609670.821314,0.0
200,2022-07-20 02:00:00,0.0691,0.07033,0.06686,0.06753,887734876.8,2022-07-21 01:59:59.999,61194985.849231,158317.0,440927418.9,30411675.087419,0.0
201,2022-07-21 02:00:00,0.06754,0.06827,0.06641,0.06802,629048455.4,2022-07-22 01:59:59.999,42337261.278388,121340.0,328313842.7,22101526.05519,0.0
202,2022-07-22 02:00:00,0.06802,0.06909,0.0666,0.067,524885437.9,2022-07-23 01:59:59.999,35750825.07275,114312.0,274652750.9,18716565.505631,0.0
203,2022-07-23 02:00:00,0.067,0.0679,0.06598,0.06698,496424646.5,2022-07-24 01:59:59.999,33187840.421038,98353.0,257341281.8,17208971.950683,0.0
204,2022-07-24 02:00:00,0.06698,0.06782,0.06668,0.06683,480814157.7,2022-07-25 01:59:59.999,32345580.143032,86538.0,243606566.8,16391116.895092,0.0
205,2022-07-25 02:00:00,0.06684,0.06701,0.06364,0.06369,704408826.0,2022-07-26 01:59:59.999,45913300.269601,122928.0,349342851.4,22780285.617641,0.0
206,2022-07-26 02:00:00,0.0637,0.06541,0.06297,0.06536,517984268.2,2022-07-27 01:59:59.999,33209338.390925,110421.0,262429659.6,16829375.593845,0.0
207,2022-07-27 02:00:00,0.06537,0.06875,0.06504,0.06866,644223625.2,2022-07-28 01:59:59.999,42919310.15895,136410.0,340400935.0,22688406.582741,0.0
208,2022-07-28 02:00:00,0.06866,0.07044,0.06751,0.06968,642289467.9,2022-07-29 01:59:59.999,44193425.040405,136808.0,350602785.6,24131638.888834,0.0
209,2022-07-29 02:00:00,0.06968,0.072,0.06803,0.06924,746874612.7,2022-07-30 01:59:59.999,52240598.733279,152315.0,368197250.9,25770776.846737,0.0
210,2022-07-30 02:00:00,0.06924,0.0713,0.06895,0.06911,479669293.4,2022-07-31 01:59:59.999,33623740.366167,108517.0,257948577.6,18094045.949319,0.0
211,2022-07-31 02:00:00,0.06912,0.07082,0.06864,0.06886,398302453.2,2022-08-01 01:59:59.999,27779685.508966,87259.0,203221736.6,14178930.427942,0.0
212,2022-08-01 02:00:00,0.06886,0.07154,0.06826,0.06986,506680777.8,2022-08-02 01:59:59.999,35303918.427706,117269.0,260957477.0,18189888.994808,0.0
213,2022-08-02 02:00:00,0.06985,0.07048,0.06772,0.06831,623410856.0,2022-08-03 01:59:59.999,42821513.289856,132320.0,304015410.0,20880366.785279,0.0
214,2022-08-03 02:00:00,0.0683,0.06923,0.06728,0.06783,412032897.7,2022-08-04 01:59:59.999,28200055.637861,97561.0,207139149.1,14185830.993718,0.0
215,2022-08-04 02:00:00,0.06783,0.06961,0.06758,0.06891,400341885.3,2022-08-05 01:59:59.999,27376958.22974,97121.0,211463526.9,14467301.766315,0.0
216,2022-08-05 02:00:00,0.0689,0.07012,0.06817,0.06989,342082025.5,2022-08-06 01:59:59.999,23737805.468835,89070.0,185678099.0,12887835.423306,0.0
217,2022-08-06 02:00:00,0.06989,0.0706,0.06927,0.06947,229537996.8,2022-08-07 01:59:59.999,16064588.043891,63991.0,127056738.5,8894675.471102,0.0
