,OpenTime,MATIC-USD_Open,MATIC-USD_High,MATIC-USD_Low,MATIC-USD_Close,MATIC-USD_volume,CloseTime,MATIC-QuoteAssetVolume,MATIC-NumberOfTrades,MATIC-TBBAV,MATIC-TBQAV,MATIC-ignore
113,2022-04-24 02:00:00,1.363,1.375,1.332,1.343,27580279.1,2022-04-25 01:59:59.999,37286208.49,68763.0,13613459.6,18399700.8779,0.0
114,2022-04-25 02:00:00,1.343,1.356,1.263,1.353,61468472.3,2022-04-26 01:59:59.999,80180660.8861,146221.0,29716464.6,38777664.9364,0.0
115,2022-04-26 02:00:00,1.353,1.362,1.224,1.244,51779339.1,2022-04-27 01:59:59.999,66810539.4127,131555.0,24771570.7,31957596.7814,0.0
116,2022-04-27 02:00:00,1.244,1.292,1.235,1.257,40904675.4,2022-04-28 01:59:59.999,51622614.8362,91003.0,20343985.6,25673897.694,0.0
117,2022-04-28 02:00:00,1.257,1.28,1.226,1.237,45259868.3,2022-04-29 01:59:59.999,56660663.9847,100505.0,22709482.6,28432318.3646,0.0
118,2022-04-29 02:00:00,1.238,1.246,1.127,1.14,73403513.3,2022-04-30 01:59:59.999,86724659.5493,133082.0,36955499.9,43620884.4103,0.0
119,2022-04-30 02:00:00,1.141,1.166,1.011,1.032,67942141.7,2022-05-01 01:59:59.999,74539161.394068,132767.0,33426074.1,36693260.3865,0.0
120,2022-05-01 02:00:00,1.033,1.124,1.014,1.099,83369235.4,2022-05-02 01:59:59.999,89760871.3249,162378.0,42333793.3,45643333.7428,0.0
121,2022-05-02 02:00:00,1.099,1.121,1.036,1.077,73093982.3,2022-05-03 01:59:59.999,79121152.6797,139994.0,37180062.6,40258323.7226,0.0
122,2022-05-03 02:00:00,1.077,1.117,1.054,1.076,53733584.2,2022-05-04 01:59:59.999,58565136.1942,87943.0,27885605.4,30408255.5182,0.0
123,2022-05-04 02:00:00,1.077,1.174,1.07,1.173,77380068.2,2022-05-05 01:59:59.999,86537431.8118,122605.0,39970979.2,44698311.5343,0.0
124,2022-05-05 02:00:00,1.173,1.187,1.029,1.064,86554618.8,2022-05-06 01:59:59.999,95327757.3036,153343.0,41165556.0,45367211.2708,0.0
125,2022-05-06 02:00:00,1.065,1.077,1.011,1.043,88663343.3,2022-05-07 01:59:59.999,92812372.7427,130418.0,42567223.1,44549623.9313,0.0
126,2022-05-07 02:00:00,1.043,1.067,0.992,1.019,66643246.5,2022-05-08 01:59:59.999,69038334.669904,102190.0,32447703.4,33634049.4359,0.0
127,2022-05-08 02:00:00,1.02,1.03,0.96,0.977,61694844.0,2022-05-09 01:59:59.999,60980198.940414,113736.0,28735354.0,28415761.136,0.0
128,2022-05-09 02:00:00,0.977,0.992,0.788,0.81,142192703.4,2022-05-10 01:59:59.999,124714130.677373,224379.0,69950810.4,61287789.746816,0.0
129,2022-05-10 02:00:00,0.81,0.99,0.79,0.889,272210112.0,2022-05-11 01:59:59.999,246387187.9669,373612.0,138146993.9,125161697.8774,0.0
130,2022-05-11 02:00:00,0.889,0.912,0.602,0.675,401657138.8,2022-05-12 01:59:59.999,311074858.843609,590504.0,189505497.0,146579711.5846,0.0
131,2022-05-12 02:00:00,0.676,0.718,0.501,0.6,330454002.9,2022-05-13 01:59:59.999,196071124.370607,424753.0,160165120.4,95064701.5223,0.0
132,2022-05-13 02:00:00,0.601,0.753,0.59,0.667,231738849.1,2022-05-14 01:59:59.999,160157111.4968,272209.0,116670912.1,80589938.5842,0.0
133,2022-05-14 02:00:00,0.667,0.712,0.615,0.686,131101411.8,2022-05-15 01:59:59.999,86686991.5334,156804.0,66356429.0,43877238.8421,0.0
134,2022-05-15 02:00:00,0.685,0.744,0.656,0.742,101688983.5,2022-05-16 01:59:59.999,70178363.7259,129381.0,51479023.7,35553587.608,0.0
135,2022-05-16 02:00:00,0.743,0.743,0.658,0.677,133481571.8,2022-05-17 01:59:59.999,91808945.6781,154335.0,66218703.6,45546979.0674,0.0
136,2022-05-17 02:00:00,0.678,0.736,0.674,0.726,114713520.1,2022-05-18 01:59:59.999,80824456.39,137882.0,57735718.4,40683686.3324,0.0
137,2022-05-18 02:00:00,0.727,0.738,0.623,0.626,100406529.9,2022-05-19 01:59:59.999,67356669.3625,125846.0,49098410.4,32908592.5817,0.0
